1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z
-699.709,-221.083,2175.86,-674.983,-386.544,2144.17,-672.277,-522.579,2139.98,-664.718,-729.631,2137.13,-659.277,-697.13,2160.39,-539.267,-672.533,2220.45,-402.123,-450.221,2183.96,-286.819,-331.679,2036.81,-692.672,-696.375,2124.86,-727.163,-666.223,2008,-673.856,-434.629,1882.53,-507.572,-309.153,1799.73,-640.688,-224.498,2239.73,-572.829,151.466,2245.89,-659.813,498.396,2319.47,-531.633,616.073,2278.34,-752.93,-218,2118.28,-734.649,159.807,2067.24,-792.332,509.007,2171.61,-747.58,624.718,2063.57,-641.117,-800.635,2115.22,-535.652,-824.109,2006.38,-526.582,-856.713,2047.71,-561.289,-864.963,2163.33,-572.171,-856.609,1999.41,-691.225,-865.934,2036.51
-702.279,-223.459,2171.53,-678.422,-388.989,2139.44,-675.47,-524.993,2134.1,-667.81,-732.033,2129.57,-662.353,-699.714,2153.09,-542.402,-676.971,2214.03,-406.94,-452.678,2183.7,-291.873,-328.123,2041.36,-695.801,-698.69,2117.61,-731.077,-667.709,2001.19,-677.337,-434.301,1879.25,-515.11,-302.577,1798.06,-643.155,-227.298,2235.29,-577.32,149.033,2243.25,-661.937,496.333,2318.02,-534.004,615.386,2280.12,-755.594,-219.994,2114.04,-737.07,158.496,2068.1,-793.77,507.591,2173.49,-747.682,625.652,2068.58,-644.201,-802.853,2107.06,-538.025,-828.655,1999.42,-529.598,-860.811,2041.24,-565.357,-867.277,2156.66,-574.778,-860.917,1992.55,-694.234,-868.708,2028.75
-704.918,-223.303,2168.45,-681.418,-388.653,2134.73,-678.586,-524.701,2128.72,-671.013,-731.85,2124.08,-665.229,-699.516,2147.54,-545.631,-675.716,2208.92,-410.208,-451.27,2178.36,-294.827,-326.938,2035.91,-699.174,-698.486,2112.49,-733.536,-666.278,1996.06,-677.086,-432.694,1875.39,-517.859,-297.887,1793.01,-644.344,-227.423,2230.87,-578.619,149.118,2239.29,-661.003,496.342,2317.75,-533.428,615.773,2279.4,-759.54,-219.584,2112.16,-740.668,158.681,2062.98,-794.329,507.736,2170.74,-751.921,625.042,2063.33,-647.71,-802.709,2101.23,-541.273,-829.963,1994.1,-532.845,-861.479,2036.44,-568.78,-866.258,2151.95,-577.977,-862.411,1987.66,-697.533,-869.876,2023.82
-706.252,-223.316,2165.6,-683.299,-388.721,2131.45,-680.775,-524.808,2124.98,-674.136,-732.076,2120.65,-668.224,-699.721,2144.07,-549.021,-676.647,2206.61,-415.363,-450.709,2178.48,-299.101,-323.249,2039.42,-702.145,-698.589,2108.98,-737.356,-666.543,1992.71,-681.089,-431.015,1875.55,-518.582,-298.256,1796.06,-645.617,-227.782,2227.99,-580.185,148.966,2236.16,-662.765,495.708,2317.17,-531.952,610.415,2275.16,-760.93,-219.285,2109.34,-743.412,159.772,2064.83,-791.251,511.919,2165.53,-744.581,614.652,2045.59,-651.125,-803.102,2097.92,-545.614,-832.875,1990.45,-536.961,-863.603,2033.36,-572.001,-865.982,2149.27,-582.505,-865.31,1984.95,-701.84,-871.599,2022.21
-707.379,-222.894,2165.18,-684.677,-388.467,2130.99,-682.162,-524.666,2124.59,-674.929,-732.074,2119.96,-668.954,-699.704,2143.41,-549.291,-675.61,2204.91,-414.779,-450.18,2174.86,-301.453,-319.687,2035.91,-703.138,-698.63,2108.52,-739.414,-666.36,1992.52,-683.443,-430.622,1875.15,-519.002,-299.155,1796.99,-646.2,-227.3,2227.14,-579.508,149.551,2234.65,-662.852,496.292,2316.19,-532.874,614.022,2279.7,-762.546,-218.918,2109.31,-741.528,159.613,2059.53,-792.393,509.816,2166.41,-745.158,618.923,2052.29,-651.841,-803.06,2096.98,-544.251,-832.279,1991.26,-536.726,-863.658,2033.95,-574.227,-867.281,2149.16,-581.294,-864.372,1984.55,-701.523,-870.21,2019.27
-707.536,-222.452,2164.27,-684.933,-388.072,2130.09,-682.46,-524.296,2123.67,-675.371,-731.742,2118.82,-669.379,-699.394,2142.3,-549.742,-675.502,2203.99,-415.048,-450.072,2174.34,-301.485,-319.19,2035.88,-703.557,-698.259,2107.4,-739.674,-665.708,1991.41,-683.217,-430.155,1873.78,-519.122,-298.842,1794.53,-646.331,-226.886,2226.22,-579.636,150.059,2232.46,-662.332,496.921,2314.45,-533.498,615.146,2275.43,-762.728,-218.451,2108.41,-741.548,160.071,2058.09,-792.541,510.062,2165.85,-746.549,622.501,2054.43,-652.321,-802.733,2095.77,-545.311,-831.119,1989.19,-537.256,-862.501,2031.8,-573.878,-866.503,2147.31,-582.195,-863.459,1982.72,-702.141,-870.14,2018.33
-707.542,-222.443,2164.26,-684.944,-388.066,2130.08,-682.479,-524.293,2123.67,-675.413,-731.742,2118.83,-669.418,-699.393,2142.31,-549.784,-675.515,2204.02,-415.052,-450.098,2174.41,-301.424,-319.196,2036.01,-703.596,-698.257,2107.41,-739.707,-665.714,1991.41,-683.228,-430.185,1873.74,-519.124,-298.908,1794.44,-646.336,-226.877,2226.21,-579.624,150.07,2232.43,-662.285,496.949,2314.39,-533.432,615.151,2275.36,-762.735,-218.442,2108.39,-741.538,160.079,2058.04,-792.472,510.108,2165.71,-746.458,622.474,2054.23,-652.37,-802.739,2095.79,-545.373,-831.173,1989.21,-537.323,-862.548,2031.82,-573.937,-866.516,2147.33,-582.266,-863.506,1982.75,-702.213,-870.152,2018.37
-709.19,-219.46,2159.01,-686.249,-384.834,2124.39,-684.25,-520.994,2118.24,-677.176,-728.36,2116.33,-671.144,-695.702,2139.33,-552.463,-674.81,2203.7,-417.332,-449.821,2174.14,-302.055,-319.645,2036.66,-705.366,-695.063,2104.49,-739.763,-664.146,1987.62,-681.614,-429.118,1870.15,-517.125,-298.069,1791.67,-648.204,-223.997,2221.09,-578.147,152.052,2229.62,-662.749,498.285,2311.31,-530.636,614.818,2279.31,-764.183,-215.366,2103.02,-742.916,163.086,2054.03,-793.981,513.065,2161,-742.91,619.839,2046.42,-654.183,-799.629,2094.26,-544.765,-832.597,1991.66,-537.659,-861.951,2035.82,-576.913,-860.734,2150.44,-581.422,-865.269,1985.84,-702.076,-870.599,2018.93
-708.504,-219.629,2158.49,-685.835,-385.297,2124.76,-683.668,-521.522,2118.86,-675.245,-728.932,2118.23,-669.352,-696.077,2141.01,-551.571,-675.324,2207.18,-418.188,-449.175,2177.56,-303.1,-319.835,2038.98,-703.7,-695.88,2106.27,-737.468,-663.965,1989.43,-680.559,-429.428,1870.13,-517.496,-297.85,1789.32,-647.676,-223.989,2220.79,-577.323,152.191,2228.2,-666.184,497.501,2309.95,-535.167,615.399,2278.03,-763.354,-215.693,2102.31,-742.386,163.121,2054.77,-795.773,512.294,2163.75,-745.422,622.885,2052.42,-651.848,-800.217,2096.53,-545.984,-833.331,1990.22,-536.726,-861.858,2034.54,-571.516,-859.304,2150.62,-582.366,-866.627,1986.36,-701.597,-873.128,2024.24
-706.91,-219.504,2160.09,-683.388,-384.817,2126.76,-680.557,-520.785,2120.94,-671.637,-727.798,2120.46,-666.029,-694.981,2143.23,-547.879,-671.745,2207.38,-417.075,-444.602,2178.13,-303.295,-316.602,2037.87,-700.019,-694.88,2108.26,-733.106,-663.933,1991.21,-677.542,-430.777,1869.69,-516.917,-297.416,1788.06,-646.634,-223.554,2222.72,-578.865,152.387,2230.57,-665.815,498.108,2309.64,-534.539,614.584,2275.45,-761.264,-215.848,2103.6,-742.685,162.6,2057.74,-796.082,512.41,2162.32,-745.952,623.688,2052.02,-647.924,-798.905,2099.02,-540.082,-834.724,1996.03,-532.097,-862.439,2040.99,-569.486,-857.469,2155.96,-576.561,-867.752,1991.94,-696.471,-872.64,2027.08
