1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z
-130.322,-224.27,2085.37,-130.776,-387.195,2033.75,-122.691,-523.589,2033.22,-101.437,-728.621,2060.92,-82.5122,-692.998,2064.4,44.2065,-663.814,2021.45,123.43,-411.219,2020.03,106.976,-208.615,1930.31,-130.992,-695.673,2070.62,-253.909,-673.957,2053.53,-365.129,-440.398,2129.95,-382.251,-237.013,2035.25,-43.4412,-221.756,2076.68,-17.9559,160.843,2069.49,-33.0417,501.81,2203.1,17.6214,621.699,2079.54,-208.666,-226.533,2093.22,-252.813,153.629,2110.37,-244.056,512.062,2203.25,-316.562,605.767,2088.24,-98.4346,-804.36,2041.47,-108.429,-894.148,1916.83,-67.0414,-909.704,1947.16,-1.59843,-863.818,2038.6,-133.055,-916.379,1953.65,-181.417,-879.812,2063.55
-130.106,-223.316,2086.07,-130.812,-385.932,2034.64,-122.505,-522.021,2033,-101.036,-726.835,2058.86,-82.0759,-691.323,2062.31,45.1811,-663.396,2021.05,123.188,-411.049,2015.68,96.2831,-208.903,1928.63,-130.36,-694.008,2069.21,-253.425,-673.336,2053.9,-364.415,-439.762,2128.63,-381.693,-237.467,2032.73,-43.5379,-220.577,2076.22,-18.4469,161.275,2070.32,-33.4172,501.237,2204.43,17.8521,621.56,2082.08,-208.169,-225.783,2094.95,-253.256,153.527,2110.79,-243.899,511.093,2203.91,-318.324,606.589,2092.14,-98.3806,-802.278,2038.86,-113.522,-895.831,1917.96,-71.0747,-910.507,1947.05,-2.06559,-862.009,2034.08,-136.654,-916.727,1956.36,-180.405,-876.533,2066.63
-129.669,-223.74,2086.43,-130.28,-386.311,2034.19,-122.034,-522.568,2032.76,-101.145,-727.587,2059.44,-82.1248,-692.058,2062.95,44.7615,-663.161,2020.68,123.198,-410.67,2013.24,94.0333,-210.111,1922.64,-130.528,-694.635,2069.45,-253.528,-673.821,2052.66,-364.694,-440.756,2129.82,-381.223,-238.944,2032.16,-42.939,-221.06,2077.08,-18.5208,161.26,2069.38,-32.3138,501.937,2202.99,16.9017,621.431,2078.68,-207.877,-226.152,2094.86,-252.542,153.652,2111.04,-244.524,511.924,2203.32,-317.441,607.895,2090.67,-98.4618,-803.184,2039.67,-112.118,-896.796,1918.4,-70.9654,-912.479,1948.91,-3.48709,-865.436,2038.11,-137.026,-917.004,1956.13,-183.306,-875.328,2064.98
-129.879,-222.999,2085.79,-130.309,-385.67,2033.61,-121.893,-521.965,2031.35,-100.725,-727.153,2057.2,-81.7157,-691.605,2060.78,45.9503,-664.754,2019.33,121.816,-411.351,2012.2,91.6494,-210.907,1921.44,-130.115,-694.251,2067.44,-253.396,-673.427,2052.4,-365.226,-440.011,2127.93,-379.004,-238.234,2029.55,-43.1423,-220.152,2076.19,-18.6661,162.367,2070.63,-33.4583,503.096,2204.43,17.9263,621.606,2079.95,-208.093,-225.563,2094.44,-252.82,154.348,2111.81,-244.884,512.584,2204.87,-318.34,610.065,2093.77,-98.0391,-802.705,2037.12,-117.251,-901.939,1921.11,-74.9824,-916.508,1950.67,-3.58911,-865.814,2034.75,-140.753,-920.107,1960.76,-182.308,-872.842,2069.29
-130.18,-222.895,2085.83,-130.697,-385.606,2033.69,-122.302,-521.927,2031.54,-100.905,-727.14,2057.28,-81.8996,-691.575,2060.79,45.6421,-665.185,2018.59,121.358,-411.791,2008.48,88.7751,-211.536,1918.05,-130.278,-694.25,2067.65,-253.511,-673.258,2052.28,-365.161,-439.118,2125.98,-378.131,-238.386,2025.3,-43.4381,-220.069,2076.15,-18.7841,162.509,2071.01,-33.5402,503.231,2205,17.7035,622.152,2080.81,-208.4,-225.44,2094.55,-252.678,154.587,2111.98,-244.473,512.821,2205.27,-316.84,608.896,2092.21,-98.2574,-802.701,2037.19,-120.747,-901.445,1921.31,-76.885,-915.374,1948.8,-2.75346,-863.862,2029.99,-142.053,-920.39,1961.84,-179.567,-874.793,2072.56
-129.847,-223.049,2085.04,-130.412,-385.79,2032.98,-121.882,-522.109,2031.06,-100.863,-727.292,2057.39,-81.7717,-691.757,2060.74,45.8732,-664.777,2019.22,121.63,-411.434,2008.03,87.4999,-211.349,1917.78,-130.141,-694.306,2067.73,-253.034,-672.408,2050.94,-365.154,-439.175,2126.8,-377.454,-241.249,2020.61,-43.1415,-220.151,2075.04,-18.3541,162.42,2069.25,-33.126,503.198,2203.12,18.9214,621.484,2078.65,-208.034,-225.659,2094.05,-252.917,154.312,2111.37,-244.302,512.408,2205.19,-317.595,608.035,2092.34,-98.4265,-802.924,2037.52,-118.287,-899.343,1919.23,-75.9284,-914.699,1948.27,-4.09838,-866.156,2033.28,-141.68,-918.409,1958.53,-182.734,-873.654,2068.34
-130.034,-223.142,2083.85,-130.812,-385.833,2031.66,-122.213,-522.145,2030.06,-100.494,-727.107,2057.44,-81.4801,-691.504,2060.47,45.9104,-665.36,2017.68,118.948,-411.145,2008.73,87.9534,-210.423,1918.79,-129.798,-694.141,2067.76,-252.847,-672.998,2051.2,-365.888,-439.521,2124.85,-376.98,-242.659,2016.6,-43.3797,-220.222,2073.45,-18.925,162.366,2068.75,-33.4269,502.536,2204.14,17.519,620.708,2079.12,-208.174,-225.771,2093.22,-252.786,154.174,2111.36,-244.313,512.463,2204.38,-317.934,608.457,2092.07,-97.9712,-802.84,2038,-121.986,-901.718,1922.55,-77.7767,-915.625,1949.48,-2.58681,-864.035,2029.64,-142.77,-920.607,1963.37,-178.832,-874.864,2074.51
-130.253,-223.315,2084.77,-131.063,-386.129,2032.66,-122.477,-522.516,2031.02,-100.559,-727.679,2057.59,-81.5492,-692.057,2060.72,45.6061,-665.44,2017.29,118.328,-411.001,2007.85,88.6238,-210.357,1917,-129.876,-694.753,2068.11,-253.031,-673.556,2051.88,-365.963,-440.101,2126.31,-376.812,-244.261,2015.95,-43.5568,-220.402,2074.32,-18.9497,162.372,2068.56,-33.2301,503.031,2203.28,17.9641,623.781,2080.72,-208.431,-225.938,2094.19,-253.045,154.246,2111.74,-244.374,512.708,2204.88,-316.902,609.816,2092.69,-98.032,-803.378,2037.84,-123.263,-898.913,1919.75,-78.9516,-913.809,1946.04,-2.98038,-864.853,2027.21,-143.926,-918.836,1960.18,-179.118,-876.006,2072.82
-130.295,-223.455,2083.85,-131.091,-386.329,2031.75,-122.472,-522.761,2030.32,-100.174,-727.95,2056.9,-81.217,-692.284,2060.01,45.9695,-665.239,2016.8,118.068,-410.476,2009.07,88.6143,-209.117,1919.57,-129.548,-695.063,2067.44,-252.721,-673.688,2051.26,-365.007,-439.863,2125.82,-376.827,-245.688,2012.51,-43.5698,-220.539,2073.41,-18.9623,162.371,2068.47,-33.6282,502.776,2204.11,17.5252,621.299,2079.29,-208.499,-226.081,2093.26,-253.041,154.19,2111.78,-244.283,512.718,2205.14,-317.18,609.14,2092.51,-97.5326,-803.671,2037.15,-124.662,-899.618,1919.76,-79.5856,-914.068,1945.01,-2.15165,-864.279,2024.32,-144.176,-919.691,1960.69,-177.1,-877.041,2074.13
-130.576,-223.48,2082.71,-131.407,-386.357,2030.41,-122.781,-522.84,2029.24,-100.685,-727.881,2057.64,-81.6892,-692.194,2060.45,45.215,-664.494,2016.67,118.104,-409.824,2010.15,90.2544,-206.541,1924.36,-130.045,-694.864,2067.88,-253.321,-673.124,2052.65,-365.53,-437.977,2123.42,-379.891,-243.797,2010.25,-43.815,-220.58,2072.29,-18.5425,162.399,2065.76,-33.867,501.873,2203.99,17.966,622.716,2081.6,-208.812,-226.092,2092.09,-252.985,154.314,2111.53,-244.283,512.938,2205.05,-317.968,608.293,2091.94,-98.0999,-803.802,2038.55,-125.655,-900.449,1921.76,-80.6985,-915.01,1947.2,-3.05388,-865.131,2026.32,-145.373,-920.11,1962.82,-178.227,-876.42,2075.93
