1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z
31.4189,-225.197,2122.1,29.1109,-392.349,2086.88,34.951,-528.741,2082.8,47.3456,-735.859,2095.81,68.2491,-701.497,2100.31,192.54,-676.017,2048.92,257.763,-419.722,2039.8,261.561,-208.897,1970.04,20.2058,-702.297,2109.54,-104.39,-684.297,2106.26,-186.377,-437.541,2177.6,-228.264,-235.689,2087.68,117.817,-223.748,2109.57,123.858,159.367,2121.69,121.725,505.676,2241.24,144.431,624.856,2109.1,-46.4899,-226.5,2133.41,-63.9815,155.074,2160.61,-40.4177,508.702,2267.65,-90.5458,599.773,2139.45,45.2188,-810.143,2071.4,-8.22329,-905.085,1962.74,38.0847,-923.876,1982.11,130.691,-881.264,2048.03,-23.8333,-921.864,2006.67,-35.7244,-873.192,2121.69
31.1488,-225.374,2122.38,28.8905,-392.428,2087.59,34.5953,-528.652,2082.77,45.114,-735.71,2094.78,66.3231,-701.599,2099.36,190.515,-677.744,2047.35,257.729,-422.349,2036.03,262.054,-211.372,1967.54,18.3551,-702.001,2108.73,-106.127,-683.874,2108.17,-185.034,-436.055,2178.17,-228.901,-232.855,2092.96,117.457,-223.938,2109.88,122.993,158.809,2120.7,121.376,504.775,2240.03,142.632,624.958,2108.82,-46.6788,-226.666,2133.65,-63.1065,154.375,2163.06,-41.4434,508.899,2266.07,-90.1663,597.133,2135.59,42.2328,-809.776,2070.05,-13.2985,-905.466,1963.35,32.9043,-924.529,1982.54,126.524,-882.183,2046.94,-28.6887,-921.417,2007.6,-38.9151,-871.048,2121.9
31.1091,-225.425,2122.09,28.6509,-392.473,2087.25,34.3741,-528.712,2082.75,44.4382,-735.758,2095.46,65.7694,-701.685,2099.76,189.471,-679.016,2046.06,258.657,-424.083,2036.04,264.308,-213.129,1967.54,17.867,-701.926,2109.48,-106.547,-683.318,2108.65,-181.807,-434.092,2177.71,-225.583,-230.827,2092.58,117.356,-223.996,2109.16,123.493,158.75,2120.18,121.68,504.439,2240.35,144.427,625.392,2110.09,-46.6632,-226.711,2133.76,-63.8006,154.544,2160.01,-40.2793,507.955,2266.43,-90.1598,598.445,2137.94,41.1867,-809.912,2071.03,-16.1575,-905.422,1965.12,30.3008,-924.586,1983.59,124.981,-882.46,2046.58,-30.8965,-921.378,2009.59,-39.2722,-871.075,2124.08
31.6605,-225.413,2121.29,28.8401,-392.803,2086.82,34.477,-529.277,2082.84,44.2925,-736.567,2097,65.7457,-702.448,2100.91,189.3,-680.973,2045.85,258.594,-425.748,2033.38,265.693,-213.733,1967.21,17.8388,-702.534,2110.98,-106.82,-684.22,2110.53,-179.557,-434.26,2181.27,-224.969,-230.344,2097.65,117.955,-224.079,2107.76,124.192,159.221,2120.21,123.826,505.649,2240.01,143.706,625.593,2107.98,-46.1553,-226.612,2133.5,-62.1812,155.16,2161.6,-38.471,510.112,2264.82,-90.03,597.227,2134.35,40.734,-811.006,2073.1,-17.4538,-907.139,1967.86,28.9294,-926.531,1986.52,124.091,-884.527,2049.23,-32.3336,-922.616,2012.54,-40.3166,-871.172,2126.77
31.4281,-225.134,2121.49,28.3077,-392.141,2087.04,33.9859,-528.292,2082.43,44.2154,-735.159,2095.75,65.6207,-701.099,2099.52,189.572,-681.097,2045.56,259.64,-426.564,2035.93,266.205,-215.388,1968.67,17.9395,-701.283,2110.12,-106.534,-683.616,2110.38,-179.503,-434.138,2180.31,-225.299,-229.912,2099.01,117.301,-223.665,2106.59,123.127,158.816,2118.47,124.166,504.037,2239.29,142.294,627.057,2110.4,-46.0071,-226.455,2134.93,-62.9026,154.58,2160.99,-37.4035,508.333,2264.98,-91.1764,599.634,2138.79,40.4849,-809.36,2071.7,-22.8421,-908.118,1972.53,24.5115,-926.81,1989.01,122.589,-882.964,2045.09,-35.0891,-922.495,2018.25,-36.9422,-868.35,2131.18
31.4045,-225.196,2121.74,28.2687,-392.288,2087.4,33.9871,-528.501,2083.26,43.4497,-735.399,2097.76,64.9809,-701.384,2101.36,188.742,-681.364,2046.85,259.365,-426.98,2035.03,265.651,-216.506,1965.32,17.2676,-701.336,2111.91,-107.119,-682.768,2112.25,-179.216,-432.466,2180.5,-224.82,-228.879,2097.29,117.319,-223.759,2106.9,123.371,158.867,2118.41,124.189,504.521,2238.38,143.402,626.576,2108.65,-46.0685,-226.489,2135.12,-63.0411,154.714,2160.66,-37.0753,508.362,2265.35,-91.5019,600.809,2140.21,39.4818,-809.745,2074.11,-23.6863,-906.813,1973.1,22.7111,-926.749,1990.85,120.362,-885.486,2049.67,-37.556,-920.887,2018.46,-41.0863,-866.735,2131.4
31.3987,-225.195,2121.75,28.2531,-392.282,2087.38,33.9536,-528.495,2083.15,43.3794,-735.414,2097.41,64.9206,-701.408,2101.04,188.63,-681.357,2046.42,259.311,-426.981,2034.7,265.559,-216.485,1965.05,17.2133,-701.361,2111.62,-107.172,-682.778,2112.15,-179.222,-432.635,2181.03,-224.872,-228.703,2098.7,117.314,-223.759,2106.9,123.385,158.866,2118.54,124.218,504.448,2238.72,143.44,626.661,2109.14,-46.0747,-226.486,2135.13,-63.0076,154.72,2160.7,-37.1162,508.4,2265.32,-91.3479,600.217,2139.63,39.3805,-809.733,2073.68,-24.0306,-906.571,1972.6,22.4087,-926.549,1990.19,120.201,-885.421,2048.87,-37.793,-920.748,2017.96,-41.0537,-866.851,2131.03
31.6052,-225.878,2123.23,28.6607,-393.033,2088.82,34.3624,-529.301,2084.51,43.2432,-736.391,2097.88,64.8651,-702.44,2101.73,189.034,-680.815,2048.63,262.528,-427.313,2033.3,270.809,-219.105,1957.01,17.1052,-702.323,2112.16,-106.669,-679.772,2110.69,-179.391,-431.125,2184.56,-223.781,-227.229,2101.19,117.648,-224.447,2108.92,123.527,158.402,2118.47,123.896,504.139,2238.69,142.315,627.008,2109.5,-45.9831,-227.165,2136.14,-63.3914,154.23,2160.98,-37.12,507.351,2267.92,-90.8402,599.227,2141.96,39.1351,-810.626,2073.8,-26.0377,-906.932,1973.24,20.7222,-927.009,1989.91,119.556,-886.183,2047.14,-39.0143,-921.38,2018.77,-40.3181,-868.116,2132.23
31.6362,-226.005,2124.01,28.6454,-393.179,2089.36,34.3185,-529.499,2084.97,42.8709,-736.674,2098.49,64.5371,-702.738,2102.39,188.55,-681.149,2048.77,262.189,-427.632,2032.63,271.098,-219.103,1957.04,16.7273,-702.548,2112.68,-107.1,-680.038,2110.91,-179.405,-431.169,2184.81,-224.396,-227.69,2100.51,117.718,-224.584,2109.72,123.591,158.406,2119.59,124.377,504.999,2237.76,143.164,625.312,2106.15,-45.9875,-227.282,2136.89,-63.02,154.171,2163.36,-37.4338,508.111,2268.23,-90.9158,596.194,2139.41,38.73,-810.946,2074.43,-23.0546,-906.08,1970.57,22.0936,-927.327,1990.07,118.51,-888.842,2052.88,-39.0837,-919.907,2015.34,-45.6008,-865.938,2128.34
31.6892,-225.729,2123.43,28.9875,-392.792,2087.91,34.7425,-529.157,2083.43,42.7977,-736.392,2097.55,64.5306,-702.479,2101.44,187.532,-681.711,2045.11,261.92,-428.119,2032.26,270.11,-219.459,1956.69,16.6642,-702.158,2111.55,-107.264,-679.968,2109.41,-179.446,-431.809,2186.15,-224.258,-227.972,2102.39,117.945,-224.273,2110.02,124.082,158.827,2121.04,123.533,505.336,2239.89,142.333,625.314,2107.88,-46.0917,-227.038,2135.52,-63.118,154.444,2163.63,-38.8897,508.132,2270.17,-90.7287,594.753,2139.61,38.5862,-810.748,2073.66,-24.8612,-907.825,1972.56,21.2478,-928.16,1990.79,118.975,-887.527,2050.22,-39.2407,-921.532,2017.94,-43.0964,-866.678,2130.69
31.725,-226.385,2124.43,28.8672,-393.636,2089.12,34.5614,-530.132,2085.05,42.793,-737.461,2100.23,64.5214,-703.484,2103.93,187.336,-681.751,2047.27,260.695,-427.927,2029.46,269.471,-219.35,1953.19,16.6225,-703.148,2114.09,-107.313,-680.784,2109.43,-180.21,-432.986,2187.45,-225.681,-231.078,2099,118.042,-225.009,2110.93,124.54,158.465,2119.77,124.223,505.158,2239.03,143.31,626.961,2108.54,-46.1111,-227.621,2136.6,-62.868,154.237,2164.16,-39.4839,509.598,2266.31,-90.1336,598.688,2136.77,38.6158,-812.003,2076.7,-24.4728,-910.321,1976.38,21.4867,-930.561,1995.22,119.003,-889.386,2054.83,-39.2195,-923.39,2021.87,-43.6957,-866.976,2133.95
31.7503,-226.329,2124.63,28.9778,-393.605,2089.28,34.7466,-530.123,2085.22,43.0716,-737.485,2100.42,64.7849,-703.491,2104.13,187.71,-681.814,2047.64,261.045,-427.939,2029.73,269.709,-219.053,1954.18,16.8705,-703.177,2114.26,-107.127,-680.977,2109.86,-180.351,-433.601,2189.07,-226.246,-230.993,2102.35,118.084,-224.909,2111.14,124.52,158.637,2119.93,123.814,505.24,2239.66,143.478,627.574,2109.71,-46.1009,-227.607,2136.79,-63.0189,154.276,2164.88,-39.2706,509.276,2268.43,-90.7595,599.253,2139.81,38.9455,-812.044,2076.89,-23.3645,-910.026,1975.71,22.0568,-930.677,1995.42,118.934,-890.308,2056.64,-39.0458,-922.819,2020.98,-44.9299,-866.033,2132.83
31.8812,-226.033,2124.59,29.1981,-393.171,2089.16,34.9716,-529.582,2084.7,43.2016,-736.855,2099.18,64.9161,-702.907,2103,188.396,-681.058,2048.03,260.574,-427.167,2028.46,268.294,-218.18,1953.53,17.0377,-702.607,2113.14,-106.753,-680.097,2107.24,-180.796,-434.244,2189.73,-226.062,-232.471,2101.16,118.161,-224.569,2111.16,124.441,158.662,2121.98,123.656,505.885,2239.1,143.724,627.263,2108.48,-45.9216,-227.35,2136.71,-63.3921,154.324,2163.66,-39.4204,508.686,2268.42,-90.5141,599.847,2140.62,39.0387,-811.279,2075.41,-23.0459,-909.121,1974.12,22.372,-929.718,1993.79,119.102,-889.326,2055.07,-38.7072,-922.007,2019.33,-44.7061,-865.46,2131.2
31.659,-226.54,2125.48,28.8167,-393.97,2090.85,34.5113,-530.489,2086.64,44.2142,-737.834,2101.3,65.7287,-703.711,2105.01,189.142,-682.229,2049.5,260.771,-427.863,2031.6,266.062,-219.865,1953.32,17.8578,-703.725,2115.35,-106.391,-682.933,2111.08,-182.156,-434.802,2185.4,-226.301,-231.819,2098.64,117.938,-225.141,2111.63,124.419,158.417,2120.17,123.6,504.709,2240.81,143.948,627.625,2111.51,-46.1429,-227.799,2137.96,-63.0056,154.195,2164.63,-38.7429,509.281,2267.8,-90.3971,599.347,2139.3,40.455,-812.362,2077.61,-25.9139,-912.634,1981.38,21.3823,-931.841,1997.87,121.106,-888.334,2051.97,-37.9669,-925.662,2027.68,-37.6121,-868.527,2139.51
31.7319,-226.546,2124.35,29.0939,-393.882,2089.85,34.8591,-530.308,2085.84,44.1275,-737.513,2100.67,65.6326,-703.442,2104.58,189.578,-682.186,2050.43,260.392,-427.872,2031.33,266.794,-218.369,1957.73,17.6908,-703.389,2114.42,-106.821,-684.859,2110.02,-182.939,-438.12,2187.85,-225.929,-235.5,2100.08,118.009,-225.13,2110.89,124.016,158.058,2123.38,123.256,505.711,2239.22,143.855,627.51,2109.08,-46.0679,-227.821,2136.5,-62.7849,153.806,2164.59,-39.4055,509.129,2266.2,-90.5,598.49,2137.13,40.518,-811.994,2076.98,-21.1063,-910.131,1975.7,24.4741,-930.458,1995.27,121.045,-889.509,2056.43,-36.6119,-923.16,2020.92,-42.7898,-866.762,2132.86
31.5246,-226.247,2125.35,28.8118,-393.753,2090.31,34.5946,-530.403,2086.41,44.3687,-737.916,2101.34,65.8689,-703.746,2105.1,190.174,-681.896,2051.44,258.812,-426.644,2031.03,262.951,-216.886,1956.91,17.9147,-703.776,2115.26,-106.644,-684.46,2109.84,-183.251,-437.708,2188.65,-229.641,-235.26,2101.28,117.951,-224.837,2111.92,124.355,158.993,2123.53,123.603,507.514,2238.65,143.689,624.896,2104.05,-46.4098,-227.515,2137.46,-63.489,154.872,2163.4,-38.9615,508.984,2270.97,-89.4585,599.225,2141.94,40.7402,-812.54,2077.69,-24.1423,-910.579,1977.98,22.3839,-930.731,1995.66,121.106,-889.419,2053.44,-37.8132,-924.069,2023.75,-40.072,-868.425,2136.43
31.6187,-225.797,2125.56,29.016,-393.144,2089.28,34.8314,-529.871,2085.26,44.0118,-737.503,2100.65,65.5514,-703.351,2104.59,190.886,-682.227,2052.87,258.942,-426.508,2034.38,262.081,-216.656,1960.08,17.4562,-703.267,2114.21,-107.105,-684.134,2106.81,-183.222,-437.958,2188.4,-229.301,-235.183,2101.28,118.198,-224.376,2112.8,124.666,159.724,2122.96,123.801,507.74,2240.28,143.549,624.56,2105,-46.4535,-227.076,2137.08,-64.4374,155.56,2162.09,-39.4122,508.453,2274.23,-89.589,600.176,2145.99,40.4959,-812.202,2077.06,-21.9858,-910.049,1975.5,23.3651,-930.916,1995.37,120.363,-890.888,2056.99,-37.8765,-922.819,2020.79,-43.8845,-865.971,2132.82
