1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z
-28.0281,-179.186,1996.05,-20.0469,-338.812,2039.61,-10.5936,-467.272,2070.38,1.90792,-665.373,2105.56,22.5192,-631.996,2104.46,128.839,-635.766,2025.08,133.65,-426.179,1877.13,-52.9488,-460.238,1775.14,-23.2618,-631.209,2116.89,-140.974,-626.319,2148.99,-250.719,-389.179,2140.33,-184.654,-375.256,1932.96,55.331,-179.06,1981.23,82.4109,191.372,1966.27,169.234,500.411,2118.45,178.502,659.828,2049.47,-103.197,-179.297,2009.4,-144.963,181.072,1930.22,-200.999,508.406,2066.55,-202.171,643.543,1980.81,-2.08503,-739.65,2090.73,-44.5863,-837.865,1986.76,-3.61003,-856.404,2012.81,79.1407,-813.858,2084.91,-66.0589,-849.815,2028.04,-89.5373,-792.953,2133
-26.9764,-175.012,1994.46,-23.4363,-334.004,2036.09,-17.249,-461.899,2065.7,-6.06269,-658.894,2098.67,14.1313,-625.612,2099.72,126.018,-627.166,2030.23,139.068,-412.897,1893.28,-27.2154,-463.179,1768.79,-32.159,-625.347,2108.32,-153.211,-619.824,2107.83,-253.962,-380.738,2106.79,-170.481,-368.965,1907.46,56.6361,-175.309,1986.22,87.3391,191.938,1970.01,167.708,501.014,2119.33,178.45,659.785,2052.44,-102.374,-174.741,2001.9,-137.063,184.635,1928.22,-205.301,506.627,2064.51,-199.949,646.982,1990.38,-8.18792,-732.401,2082.62,-38.3233,-842.984,1988.89,2.04818,-855.595,2018.4,77.3055,-800.293,2088.56,-60.9317,-851.941,2029.89,-93.3743,-786.635,2126.11
-25.0927,-175.617,1996.28,-25.5063,-335.283,2040.44,-22.2638,-463.771,2072.37,-11.4536,-661.806,2108.5,8.72822,-628.175,2109.84,127.679,-630.136,2050.96,171.028,-425.081,1902.92,0.98148,-459.372,1775.29,-38.1938,-627.985,2116.87,-159.955,-620.351,2111.58,-264.807,-381.023,2102.31,-160.16,-372.53,1911.16,59.4764,-176.905,1992.42,91.9556,192.959,1974.23,160.7,504.885,2129.76,180.602,655.025,2044.19,-101.352,-174.453,1999.77,-130.808,187.884,1924.05,-208.054,510.468,2061.36,-195.724,651.654,1987,-12.7678,-736.087,2093.21,-29.8746,-840.657,1988.16,11.4305,-851.889,2017.63,79.9264,-795.612,2095.08,-52.2509,-855.808,2027.88,-93.1508,-803.092,2129.61
-25.1116,-175.591,1996.72,-25.5527,-335.189,2041,-22.3147,-463.556,2073.32,-11.5902,-661.368,2110.47,8.57744,-627.734,2111.71,127.923,-630.22,2053.71,174.008,-426.276,1905.05,6.53741,-460.274,1774.04,-38.3585,-627.517,2118.58,-160.095,-619.974,2113.14,-265.152,-380.801,2103.56,-159.198,-373.121,1913.14,59.4429,-176.888,1992.89,91.9714,192.901,1974.68,160.562,504.885,2130,180.798,654.526,2043.71,-101.358,-174.418,2000.18,-130.635,187.722,1923.8,-207.831,510.631,2060.19,-195.17,651.454,1985.26,-12.8413,-735.711,2095.55,-28.0571,-841.422,1991.39,12.7136,-852.309,2021.71,79.8007,-795.163,2099.72,-51.1266,-856.14,2030.86,-93.8275,-802.331,2131.25
-26.2886,-174.822,1995.6,-32.7472,-334.574,2038.34,-34.0922,-462.571,2071.8,-26.6537,-659.148,2114.95,-6.9315,-625.366,2117.57,121.836,-627.548,2085.97,190.256,-429.817,1937.87,51.2054,-458.666,1776.24,-54.305,-625.34,2119.13,-173.133,-615.647,2093.28,-278.08,-376.969,2077.74,-142.899,-376.699,1906.88,58.0296,-176.497,2002.08,96.7067,192.59,1988.3,153.114,509.32,2138.17,180.183,650.854,2041.03,-102.322,-173.309,1989.76,-121.995,189.93,1917.06,-213.34,509.168,2052.59,-189.626,654.248,1989.7,-25.8612,-733.788,2101.9,-4.64472,-832.706,1992.43,31.3736,-839.215,2029.25,73.1506,-778.077,2120.61,-31.4749,-853.653,2026.26,-99.4886,-814.624,2119.12
-24.6488,-175.843,1993.75,-32.3419,-336.07,2034.16,-34.6749,-464.336,2066.28,-29.7894,-660.682,2110.42,-10.2828,-626.895,2114.12,119.764,-627.803,2088.5,188.525,-420.408,1954.66,79.7221,-455.029,1772.41,-57.6432,-626.89,2112.82,-173.695,-612.685,2078.18,-279.347,-374.754,2058.45,-131.561,-374.981,1898.49,59.125,-177.005,2005.09,97.9788,192.085,1997.77,147.716,512.823,2140.96,184.825,648.294,2038.77,-100.191,-174.794,1983.52,-117.928,188.876,1913.35,-218.201,506.896,2044.96,-194.187,654.492,1988.56,-28.183,-735.33,2097.7,10.7483,-839.617,1998.66,42.5775,-841.489,2039.61,70.2148,-772.118,2130.39,-18.6156,-859.922,2030.7,-98.818,-819.215,2112.37
-25.6467,-176.296,1991.07,-35.5628,-336.598,2032.03,-39.666,-464.93,2064.78,-33.6217,-661.34,2110.29,-14.9103,-627.122,2114.85,117.059,-623.224,2100.43,191.406,-414.652,1970.49,110.241,-457.482,1775.53,-62.2194,-627.983,2111.01,-173.507,-616.354,2061.94,-279.755,-378.628,2036.84,-119.122,-373.185,1889.25,57.7362,-177.648,2005.97,100.35,191.835,2007.49,148.01,516.154,2144.95,184.348,644.46,2033.1,-100.836,-175.074,1977.64,-116.413,189.887,1909.83,-219.713,506.93,2043.37,-188.134,656.222,1994.81,-29.9977,-736.152,2098.06,24.1779,-837.444,2002.7,52.7837,-837.043,2046.13,68.1084,-765.802,2138.66,-6.13765,-859.9,2032.49,-95.4462,-825.126,2107.54
-25.2569,-175.216,1990.35,-39.1949,-335.066,2033.9,-46.0905,-463.699,2066.65,-38.7187,-661.498,2108.56,-20.6424,-627.01,2114.49,112.241,-617.695,2112.77,191.778,-408.581,1985.23,133.731,-461.003,1783.73,-67.9102,-628.472,2108.91,-173.338,-617.014,2047.48,-279.138,-378.748,2017.64,-106.43,-375.949,1883.2,57.8501,-177.683,2007.9,104.515,192.464,2009.8,148.438,518.347,2147.63,184.939,644.019,2032.07,-100.198,-172.988,1974.53,-112.022,193.603,1908.49,-217.396,508.528,2048.27,-176.341,660.048,2014.24,-33.5208,-736.214,2094.94,28.1108,-834.903,2000.67,55.5208,-833.322,2045.02,64.9704,-761.528,2138.37,-2.05533,-858.899,2029.63,-95.2303,-828.418,2102.42
-23.7299,-176.215,1990.6,-39.5315,-336.561,2033.59,-48.0094,-465.354,2066.95,-43.2348,-663.866,2108.79,-25.5276,-629.291,2115.98,107.482,-618.988,2108.48,201.24,-403.305,2001.66,150.589,-460.283,1798.72,-72.4867,-630.746,2107.39,-173.347,-622.298,2037.63,-276.343,-383.353,1998.08,-93.6699,-381.016,1876.33,58.6208,-178.475,2012.45,106.447,192.643,2015.21,146.861,520.514,2152.16,188.384,641.934,2033.02,-97.9886,-174.175,1970.9,-108.192,194.027,1907.3,-219.074,508.522,2046.56,-180.22,661.046,2012.16,-37.1442,-738.765,2095.27,34.3027,-840.327,2010.77,57.0562,-837.202,2057.78,56.6749,-762.249,2149.56,1.26174,-863.636,2037.3,-99.2879,-831.295,2099.28
-23.4343,-175.844,1990.62,-40.3921,-336.092,2031.92,-49.6932,-464.869,2063.79,-45.4089,-663,2105.09,-28.3128,-628.415,2113.13,104.522,-617.39,2112.81,204.324,-401.351,2014.02,159.929,-464.82,1812.1,-74.7253,-630.152,2102.51,-171.732,-623.857,2027.77,-271.741,-385.457,1982.03,-79.9426,-382.368,1876.36,57.9403,-178.136,2015.15,107.166,191.85,2020.39,147.232,520.728,2152.67,188.183,642.042,2033.85,-96.8128,-173.775,1968.51,-103.847,193.745,1905.9,-217.648,506.721,2043.93,-179.513,657.661,2004.03,-38.2357,-737.627,2091.65,34.6809,-839.956,2010.03,56.5194,-836.178,2057.28,54.3839,-760.187,2147.8,1.27415,-862.9,2036.2,-100.176,-829.96,2095.77
