1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z
-247.271,-215.299,2312.86,-236.022,-383.661,2324.75,-222.457,-517.913,2333.7,-206.262,-722.449,2350.32,-194.273,-687.625,2366.11,-68.6948,-648.249,2398.53,-16.6121,-394.971,2440.83,26.0032,-185.401,2389.59,-238.188,-691.255,2345.97,-353.925,-693.4,2299.62,-504.315,-473.281,2313.92,-538.841,-268.331,2233.94,-170.703,-207.402,2352.22,-234.666,165.805,2378.78,-293.621,523.046,2401.1,-188.912,642.56,2321.71,-316.316,-222.417,2277.36,-334.376,151.678,2218.23,-376.744,515.708,2210.15,-316.252,625.577,2105.38,-189.092,-794.916,2329.05,-109.349,-873.799,2225.94,-93.7294,-887.203,2274.85,-104.747,-842.838,2386.02,-147.689,-901.205,2239.55,-256.431,-879.43,2295.53
-247.189,-215.162,2313.11,-235.939,-383.478,2325.1,-222.539,-517.688,2334.45,-206.886,-722.093,2352.55,-194.771,-687.194,2368.05,-68.9106,-647.6,2398.95,-16.0911,-393.623,2435.36,25.2461,-185.897,2376.37,-238.726,-690.85,2348.04,-354.353,-692.564,2301.47,-501.822,-470.423,2313.59,-527.119,-266.854,2227.04,-170.62,-207.244,2352.42,-234.584,165.882,2378.87,-293.719,522.999,2401.33,-188.937,642.597,2322.25,-316.234,-222.299,2277.66,-334.418,151.687,2218.43,-376.937,515.612,2210.27,-316.404,625.482,2105.58,-189.966,-794.748,2331.79,-111.399,-875.507,2229.28,-95.3451,-888.125,2278.25,-105.202,-841.895,2388.74,-149.657,-902.586,2243.72,-257.788,-879.634,2300.34
-248.024,-214.938,2313.64,-236.396,-383.366,2325.02,-223.331,-517.629,2335.13,-207.711,-722.043,2354.43,-195.427,-687.038,2369.61,-69.3417,-645.353,2396.96,-13.7786,-390.742,2424.94,25.7683,-186.014,2354.83,-239.577,-690.78,2349.98,-356.455,-693.482,2306.5,-498.565,-467.468,2313.03,-495.624,-268.899,2212.1,-170.815,-207.03,2351.79,-234.321,166.391,2378.2,-292.9,523.819,2400.43,-188.942,643.112,2319.6,-317.646,-222.067,2279.23,-335.248,152.05,2219.31,-376.341,516.335,2210.73,-317.052,625.882,2104.86,-191.026,-794.887,2333.98,-111.586,-874.523,2231.14,-96.877,-888.689,2280.14,-108.411,-845.082,2391.6,-150.673,-901.25,2244.02,-259.689,-877.7,2298.83
-250.402,-213.445,2314.98,-238.48,-381.669,2325.63,-225.355,-515.761,2335.5,-209.76,-719.878,2354.99,-197.125,-684.906,2369.81,-70.981,-645.603,2399.42,-12.2146,-391.288,2418.94,29.9812,-187.549,2348.43,-241.606,-688.608,2351.1,-358.875,-690.915,2309.16,-494.58,-461.352,2312.74,-473.074,-270.69,2200.15,-172.489,-205.615,2351.41,-233.239,167.9,2375.49,-293.179,524.38,2401.07,-188.089,643.399,2321.84,-320.661,-220.503,2282.12,-334.516,152.606,2218.3,-375.445,516.449,2211.58,-317.793,625.09,2104.22,-193.646,-792.708,2334.43,-119.912,-873.907,2228.9,-101.802,-886.446,2277.13,-106.708,-839.95,2387.73,-157.562,-900.806,2245.04,-262.977,-877.384,2306.2
-249.96,-213.179,2315.17,-237.396,-381.293,2324.77,-224.262,-515.262,2334.88,-209.706,-719.294,2354.43,-196.931,-684.406,2369.25,-68.9185,-648.581,2394.46,-7.4759,-394.834,2410.11,29.4479,-194.399,2328.55,-241.368,-687.893,2350.49,-358.566,-692.475,2308.82,-487.453,-459.219,2309.29,-449.473,-275.227,2190.46,-172.159,-205.281,2351.67,-232.992,167.935,2375.69,-292.895,524.161,2401.03,-188.948,643.055,2320.42,-320.118,-220.299,2282.25,-334.086,152.668,2219.33,-375.313,516.224,2214.03,-318.003,625.027,2106.83,-193.931,-792.153,2333.93,-118.858,-872.853,2229.14,-102.712,-886.915,2277.6,-110.126,-842.792,2388.93,-157.673,-899.082,2243.4,-264.365,-874.271,2301.53
-249.813,-212.46,2315.62,-237.324,-380.381,2325.22,-224.123,-514.207,2335.03,-211.097,-718.129,2354.29,-198.425,-683.392,2369.43,-70.8632,-646.763,2394.91,-6.26947,-393.868,2405.87,29.4432,-201.193,2307.5,-242.467,-686.576,2349.84,-359.341,-692.71,2307.9,-487.584,-459.475,2304.73,-429.998,-280.406,2186.75,-172.552,-204.575,2353.02,-233.104,168.248,2376.89,-293.193,523.979,2402.69,-189.125,643.021,2322.91,-319.483,-219.567,2281.89,-332.654,152.982,2218.97,-375.188,515.975,2215.11,-319.212,624.629,2107.35,-195.364,-790.938,2333.92,-119.411,-876.122,2233.67,-105.397,-889.57,2282.89,-115.213,-842.819,2392.8,-159.448,-900.796,2247.1,-267.108,-871.469,2300.87
-249.154,-213.334,2316.45,-236.857,-381.561,2326.54,-224.453,-515.577,2338.14,-212.036,-719.686,2359.81,-199.116,-684.752,2374.48,-70.8798,-646.62,2395.31,-6.86921,-392.851,2398.49,28.9543,-205.405,2289.68,-243.375,-688.01,2355.17,-360.654,-693.393,2313.56,-483.968,-457.329,2299.77,-416.293,-282.981,2179.31,-171.435,-205.446,2353.28,-232.291,168.111,2376.21,-292.922,524.487,2401.43,-189.955,643.19,2319.02,-319.236,-220.444,2283.25,-331.889,152.531,2218.48,-374.764,516.184,2215.14,-318.813,624.77,2106.84,-196.673,-792.93,2340.18,-123.534,-874.56,2234.59,-108.171,-889.869,2282.96,-114.883,-847.141,2394.97,-163.312,-899.725,2248.22,-269.595,-872.26,2306.09
-249.177,-213.327,2316.39,-236.854,-381.576,2326.48,-224.489,-515.603,2338.22,-212.188,-719.667,2360.63,-199.215,-684.683,2375.15,-70.8699,-646.193,2394.73,-7.7373,-392.15,2393.25,24.3752,-207.371,2278.8,-243.516,-687.981,2355.93,-360.786,-693.52,2314.26,-483.755,-457.401,2297.84,-413.179,-287.1,2173.27,-171.443,-205.426,2353.21,-232.433,168.157,2376.27,-293.362,524.507,2401.87,-190.538,643.422,2319.53,-319.273,-220.448,2283.18,-331.946,152.57,2218.36,-374.841,516.273,2214.97,-318.919,624.88,2106.63,-196.91,-793.007,2341.26,-124.254,-875.655,2236.09,-108.862,-890.688,2284.55,-115.218,-847.153,2396.28,-164.108,-900.578,2249.96,-270.201,-872.306,2307.84
-250.091,-213.354,2318.4,-237.213,-381.801,2327.97,-224.71,-515.96,2339.97,-212.369,-720.221,2362.9,-199.433,-685.156,2377.39,-72.3354,-643.056,2398.76,-6.49731,-389.898,2382.29,19.4158,-211.613,2256.06,-243.735,-688.519,2358.03,-361.517,-693.756,2317.32,-484.343,-457.863,2293.1,-404.411,-294.854,2164.01,-172.228,-205.314,2355.17,-231.686,169.15,2375.44,-294.562,525.462,2403.11,-192.025,644.536,2320.18,-320.303,-220.601,2285.25,-330.28,152.427,2217.35,-374.818,516.399,2215.95,-318.928,625.274,2107.56,-196.99,-793.687,2343.7,-124.74,-875.539,2237.36,-109.33,-891.209,2285.68,-115.359,-848.875,2398.06,-164.731,-900.478,2251.02,-270.756,-872.381,2309.43
-250.091,-213.354,2318.4,-237.213,-381.801,2327.97,-224.71,-515.96,2339.97,-212.369,-720.221,2362.9,-199.433,-685.156,2377.39,-72.3354,-643.056,2398.76,-6.49731,-389.898,2382.29,19.4158,-211.613,2256.06,-243.735,-688.519,2358.03,-361.517,-693.756,2317.32,-484.343,-457.863,2293.1,-404.411,-294.854,2164.01,-172.228,-205.314,2355.17,-231.686,169.15,2375.44,-294.562,525.462,2403.11,-192.025,644.536,2320.18,-320.303,-220.601,2285.25,-330.28,152.427,2217.35,-374.818,516.399,2215.95,-318.928,625.274,2107.56,-196.99,-793.687,2343.7,-124.74,-875.539,2237.36,-109.33,-891.209,2285.68,-115.359,-848.875,2398.06,-164.731,-900.478,2251.02,-270.756,-872.381,2309.43
