1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z
-149.272,-210.6,2306.34,-152.474,-377.911,2284.75,-152.458,-512.745,2280.8,-149.962,-717.883,2272.28,-130.844,-685.92,2286.8,1.84532,-667.024,2269.04,60.3199,-418.289,2323.97,76.1277,-200.352,2304.72,-178.796,-684.788,2280.91,-295.553,-670.813,2240.38,-377.349,-417.558,2249.65,-284.815,-503.674,2066.99,-63.54,-213.388,2315.23,-52.8778,163.872,2284.97,-42.7751,521.742,2337.49,-54.3886,639.924,2206,-226.58,-208.083,2298.32,-229.429,169.747,2281.51,-209.094,518.227,2390.36,-236.092,632.833,2277.63,-146.37,-788.027,2240.1,-144.518,-837.028,2096.26,-109.473,-864.39,2124.99,-55.5053,-853.313,2231.48,-175.186,-865.602,2121.5,-235.384,-856.572,2229.44
-152.991,-210.499,2311.4,-155.493,-378.503,2289.72,-155.222,-513.908,2286.71,-155.072,-719.992,2280.96,-135.995,-687.945,2295.79,-2.63581,-666.993,2281.5,54.7099,-415.731,2330.91,75.5093,-198.247,2303.03,-183.882,-686.29,2288.14,-304.563,-675.209,2257.99,-375.285,-417.361,2255.65,-284.415,-499.299,2069.17,-67.0602,-213.109,2321.72,-57.9142,166.047,2295.68,-48.6084,526.612,2339.31,-63.3002,644.892,2207.25,-230.478,-208.141,2302.1,-234.656,171.291,2287.13,-214.651,519.117,2402.92,-252.639,633.953,2292.65,-151.227,-790.895,2249.73,-138.7,-834.149,2103.94,-107.084,-864.109,2134.4,-61.9063,-859.471,2245.89,-172.524,-862.66,2125.31,-241.681,-855.755,2228.51
-159.472,-208.43,2312.24,-161.053,-376.93,2293.38,-159.774,-512.454,2290.79,-162.275,-718.719,2285.75,-142.94,-686.845,2300.71,-9.08199,-665.614,2291.19,45.9849,-413.529,2340.19,73.0132,-197.943,2302.98,-190.747,-684.586,2292.48,-310.344,-669.981,2259.22,-380.441,-411.735,2256.05,-284.814,-502.137,2075.73,-73.4077,-210.353,2322.21,-67.4822,169.65,2303.99,-58.6617,530.425,2348.58,-80.4731,650.584,2219.01,-237.08,-206.692,2303.26,-243.713,173.286,2297.77,-220.719,513.337,2435.09,-272.42,629.854,2332.2,-158.989,-789.838,2254.79,-138.307,-834.616,2110.25,-107.688,-863.621,2142.67,-68.2479,-856.779,2256.31,-172.658,-863.542,2130.28,-247.109,-856.734,2229.87
-164.186,-209.009,2318.56,-164.72,-376.773,2299.61,-162.748,-511.678,2295.8,-167.476,-717.02,2290.9,-148.395,-685.49,2306.44,-14.6661,-665.552,2301.96,41.5147,-415.954,2356.13,71.0553,-206.64,2297.04,-195.644,-682.694,2296.54,-316.282,-674.663,2267.04,-386.161,-417.739,2256.64,-285.309,-501.73,2077.26,-78.7347,-210.624,2330.44,-74.708,167.456,2306.61,-67.5997,524.988,2363.29,-78.6253,644.631,2232.93,-241.242,-207.55,2307.85,-249.1,170.454,2291.39,-230.583,499.739,2449.79,-299.956,613.411,2355.6,-163.94,-787.91,2260.27,-138.27,-839.76,2119.64,-110.552,-868.276,2154.63,-76.5158,-857.809,2269.19,-174.521,-866.302,2139.1,-252.994,-852.2,2234.06
-168.755,-209.502,2327.37,-168.924,-377.628,2309.74,-166.735,-512.701,2305.95,-173.154,-718.26,2301.07,-154.027,-686.845,2316.91,-19.8408,-668.426,2318.48,39.5504,-417.924,2366.27,69.6058,-211.871,2296.01,-201.148,-683.647,2306.26,-321.016,-673.495,2273.75,-393.95,-417.703,2252.94,-287.434,-511.967,2081.78,-83.4767,-211.033,2341.15,-79.1359,167.292,2313.84,-72.9566,526.059,2365.55,-77.8526,645.117,2233.98,-245.654,-208.119,2314.94,-252.901,170.432,2299.72,-238.505,501.888,2455.07,-311.32,614.761,2362.17,-169.736,-789.288,2270.5,-140.83,-839.806,2129.81,-114.885,-869.516,2165.26,-84.2135,-861.494,2281.12,-178.346,-865.77,2147.75,-259.531,-851.104,2240.52
-172.565,-209.341,2336.71,-172.698,-377.418,2319.06,-170.56,-512.421,2314.19,-178.327,-717.824,2307.46,-159.308,-686.689,2323.94,-25.3394,-671.493,2336.55,36.7734,-420.93,2379.98,68.2683,-221.18,2294.07,-206.168,-683.063,2312.37,-323.696,-668.32,2273.78,-400.823,-414.222,2248.7,-290.299,-520.939,2087.77,-87.7154,-211.095,2352.78,-83.5714,166.545,2318.33,-76.997,525.809,2365.66,-83.3997,644.941,2234.28,-249.078,-207.756,2322.22,-255.635,170.951,2315.58,-241.689,503.376,2468.65,-317.268,615.935,2377.68,-174.794,-788.601,2276.38,-142.307,-837.317,2135.87,-116.432,-866.797,2171.55,-88.0699,-859.154,2287.99,-179.606,-864.17,2152.89,-262.738,-851.922,2244.24
-177.853,-209.416,2349.46,-178.044,-377.68,2331.26,-176.012,-512.877,2326.3,-187.198,-718.414,2319.37,-167.703,-687.567,2335.98,-33.8006,-672.762,2351.53,33.6167,-423.78,2398.29,66.6303,-233.113,2293.56,-214.514,-683.145,2324.2,-334.652,-667.677,2294.33,-408.141,-414.969,2248.65,-297.93,-527.797,2091.27,-92.8858,-211.254,2365.57,-88.0905,167.022,2332.16,-82.0274,528.39,2365.47,-87.2966,645.749,2232.11,-254.471,-207.754,2334.94,-260.549,171.477,2326.68,-248.461,509.372,2468.81,-324.102,621.253,2376.62,-184.713,-789.321,2288.21,-146.965,-833.068,2147.15,-123.464,-864.732,2182.71,-100.271,-862.697,2300.69,-185.719,-859.636,2161.34,-272.759,-848.962,2249.42
-208.703,-204.92,2358.17,-210.548,-374.301,2349.14,-207.747,-509.578,2340.04,-213.425,-715.655,2329.46,-194.529,-684.517,2346.43,-59.6619,-683.207,2363.28,2.47703,-432.43,2411.11,59.8165,-249.348,2302.36,-241.694,-681.164,2335.27,-357.608,-665.158,2291.19,-430.167,-411.498,2245.73,-318.068,-511.458,2080.46,-123.619,-206.729,2374.72,-112.392,173.72,2369.97,-100.676,530.081,2442.11,-96.0986,653.916,2314.16,-285.426,-203.286,2343.24,-290.669,176.736,2354.84,-295.671,510.635,2508.53,-339.573,629.378,2404.46,-209.39,-786.056,2296.9,-172.35,-834.849,2156.93,-145.449,-862.69,2193.45,-119.085,-852.276,2310.6,-208.635,-863.452,2173.82,-293.898,-854.326,2264.19
-218.76,-204.598,2371.63,-222.528,-373.101,2362.88,-220.811,-507.532,2351.47,-224.396,-712.422,2337.72,-205.77,-681.515,2354.93,-71.7581,-683.503,2372.96,-4.66979,-436.316,2425.29,57.4145,-258.413,2312.87,-252.827,-678.504,2344.3,-366.293,-662.278,2295.93,-433.07,-409.448,2245.25,-319.135,-520.115,2089.88,-134.153,-207.351,2388.2,-118.356,170.985,2394.52,-104.239,525.864,2464.23,-89.2631,649.724,2338.36,-295.055,-202.113,2356.69,-298.872,175.388,2381.13,-302.079,517.129,2511.4,-333.083,636.417,2404.65,-219.938,-781.897,2304.18,-186.013,-833.947,2165.44,-158.9,-861.103,2201.93,-130.538,-848.4,2317.76,-222.102,-861.639,2183.51,-305.256,-849.648,2274.64
-226.681,-209.206,2388.16,-231.494,-376.416,2376.46,-230.652,-509.772,2362.78,-232.285,-713.027,2344.71,-213.879,-682.503,2362.25,-81.2403,-685.583,2383.5,-16.0808,-440.99,2441.75,52.0767,-269.011,2326.41,-260.795,-679.779,2352.35,-373.488,-662.561,2304.57,-441.328,-412.695,2249.73,-336.51,-524.308,2090.7,-142.636,-212.773,2404.56,-125.205,162.54,2425.21,-111.146,516.568,2486.75,-84.015,639.622,2363.75,-302.467,-205.986,2373.37,-305.6,168.092,2409.99,-303.761,516.922,2511.82,-323.153,636.109,2403.82,-227.574,-781.263,2309.83,-196.849,-830.576,2170.42,-168.741,-857.819,2205.57,-137.793,-846.626,2320.09,-231.97,-858.717,2188.84,-312.394,-848.993,2281.6
