1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z
469.256,-185.527,1729.75,494.739,-350.223,1749.93,516.511,-482.601,1753.57,556.252,-682.004,1733.76,572.414,-646.72,1742.44,680.737,-598.118,1679.21,659.752,-340.156,1654.12,523.227,-178.901,1599.47,526.445,-655.479,1753.48,403.247,-663.472,1761.94,302.708,-418.499,1770.73,329.017,-216.836,1684.22,552.744,-174.632,1713.24,559.77,199.501,1756.58,580.019,552.873,1822.34,540.03,621.707,1665.06,393.971,-195.348,1744.63,290.494,146.452,1863.21,205.114,479.08,1983.28,156.761,626.284,1935.35,562.182,-750.181,1698.76,583.493,-832.921,1574.02,623.871,-839.809,1607.12,668.09,-785.203,1703.52,561.993,-861.233,1607.28,498.428,-841.777,1711.11
469.076,-184.189,1729.08,494.523,-348.541,1748.15,516.027,-480.609,1750.48,556.856,-679.003,1728.77,572.824,-643.763,1737.48,682.191,-595.7,1676.48,659.311,-338.882,1649.01,522.371,-177.267,1599.11,527.195,-652.917,1749.01,404.467,-662.189,1757.89,301.643,-419.192,1771.35,329.557,-218.445,1684.81,552.151,-173.338,1711.74,560.261,199.368,1757.88,580.153,551.767,1823.42,542.885,623.521,1667.33,394.163,-193.97,1744.72,290.709,146.457,1863.91,205.44,478.572,1982.36,156.944,625.72,1935.97,562.82,-746.69,1693.31,584.447,-835.265,1573.22,625.023,-839.834,1606.25,668.953,-779.823,1699.09,563.637,-862.029,1607.97,500.657,-838.15,1710.82
470.077,-184.362,1728.93,495.737,-348.731,1747.46,517.505,-480.747,1749.8,557.831,-679.314,1728.88,573.878,-644.088,1737.49,683.011,-595.311,1676.66,660.894,-337.825,1655.77,523.673,-178.46,1599.83,528.207,-653.077,1748.97,405.388,-661.719,1757.08,302.002,-419.19,1773.91,329.193,-219.389,1685.01,553.127,-173.35,1711.6,560.706,199.35,1757.66,579.775,551.928,1822.35,542.454,624.582,1666.71,395.185,-194.289,1744.55,290.625,145.404,1864.79,204.507,478.126,1980.83,157.874,626.857,1937.73,563.673,-747.139,1693.67,590.213,-835.512,1574.44,629.213,-840.416,1609.27,669.226,-780.931,1704.18,567.685,-862.241,1608.12,500.239,-838.26,1708.06
471.099,-183.927,1729.59,496.997,-348.225,1748.42,518.992,-480.186,1751.61,560.227,-678.667,1731.64,576.169,-643.287,1739.8,683.697,-594.077,1676.51,661.367,-337.194,1649.36,522.251,-177.517,1599.29,530.692,-652.454,1751.89,407.995,-662.987,1759.6,302.263,-421.219,1772.33,328.818,-220.963,1684.27,554.001,-172.926,1711.55,561.894,199.461,1760.05,579.639,552.164,1824.44,540.944,623.24,1668.41,396.342,-193.844,1745.85,290.346,146.288,1863.57,202.438,477.478,1982.61,156.877,625.902,1937.36,566.045,-746.714,1696.86,590.788,-830.662,1574.1,630.839,-835.956,1607.65,672.443,-778.83,1703.32,569.705,-858.889,1607.49,504.689,-839.435,1709.99
471.363,-182.847,1727.77,496.847,-346.888,1746.37,518.452,-478.658,1748.43,559.71,-676.625,1727.69,575.507,-641.41,1736.43,685.227,-592.918,1677.05,661.692,-336.349,1653.19,523.395,-178.537,1597.23,529.885,-650.588,1747.53,407.766,-663.847,1756.13,303.431,-422.061,1768.82,329.302,-219.402,1687.44,554.323,-171.877,1710.85,563.132,199.486,1761.06,577.907,552.443,1820.53,541.534,623.789,1664.46,396.553,-192.737,1743.03,291.15,146.215,1862.23,203.669,475.6,1984.29,156.982,623.68,1940.27,566.094,-744.255,1692.54,593.76,-830.234,1572.2,632.296,-835.836,1607.28,671.271,-778.319,1703.52,570.883,-857.503,1605.07,502.526,-835.354,1704.5
472.613,-181.147,1725.93,497.702,-345.156,1745.03,518.853,-476.974,1746.94,559.735,-674.907,1725.54,575.631,-639.731,1734.22,684.72,-591.081,1673.87,663.423,-334.577,1647.9,522.859,-177.112,1597.01,530.094,-648.878,1745.65,408.578,-663.541,1758.89,303.52,-422.329,1774.97,329.247,-224.569,1682.38,555.565,-170.443,1708.89,563.738,200.719,1760.1,578.051,553.329,1821.28,542.083,623.77,1664.75,397.811,-190.797,1741.3,291.461,146.025,1865.36,203.59,476.101,1985.03,156.467,622.22,1935.4,565.781,-742.467,1690.23,592.481,-832.082,1572.4,631.65,-836.06,1606.97,671.509,-774.919,1700.55,570.489,-858.493,1606.52,503.542,-833.824,1706.29
473.017,-180.158,1725.28,498.145,-344.114,1744.08,519.503,-475.809,1747.31,562.525,-673.354,1727.49,578.094,-637.909,1735.56,686.968,-590.074,1674.33,666.895,-333.291,1651.54,526.152,-178.231,1594.57,532.859,-647.485,1747.73,411.128,-662.337,1757.88,303.289,-422.418,1772.81,329.426,-224.11,1681.77,555.709,-169.565,1707.14,566.723,200.29,1765.49,577.691,553.591,1822.22,542.288,623.955,1665.62,398.45,-189.706,1741.63,291.875,146.055,1867.82,204.003,476.29,1986.54,156.76,622.042,1936.18,568.917,-741.188,1692.86,585.71,-821.536,1566.88,627.877,-827.344,1597.4,675.422,-772.501,1691.22,567.189,-850.702,1600.79,509.361,-834.46,1707.67
473.029,-180.148,1725.28,498.158,-344.105,1744.08,519.517,-475.801,1747.31,562.536,-673.346,1727.49,578.106,-637.901,1735.56,686.985,-590.078,1674.32,666.973,-333.292,1651.51,526.281,-178.216,1594.45,532.871,-647.477,1747.73,411.139,-662.323,1757.89,303.328,-422.393,1772.86,329.499,-224.054,1681.88,555.721,-169.555,1707.14,566.738,200.302,1765.48,577.706,553.606,1822.19,542.284,623.962,1665.6,398.462,-189.697,1741.64,291.892,146.064,1867.83,204.026,476.301,1986.55,156.782,622.046,1936.17,568.927,-741.18,1692.85,585.778,-821.526,1566.88,627.926,-827.344,1597.42,675.427,-772.514,1691.28,567.232,-850.69,1600.78,509.343,-834.44,1707.62
474.932,-178.595,1722.59,500.22,-342.509,1742.26,521.823,-474.208,1746.31,564.548,-672.008,1727.4,580.137,-636.564,1735.53,688.7,-589.619,1672.93,670.986,-332.35,1652.34,529.882,-178.48,1592.69,534.742,-645.999,1747.29,413.06,-662.148,1756.77,304.277,-422.72,1774.71,331.734,-221.696,1689.97,557.775,-167.925,1705,568.658,202.158,1763.1,578.768,555.918,1818.21,541.539,624.261,1661.05,400.228,-188.214,1738.45,293.189,145.18,1870.91,205.493,476.85,1986.25,156.61,621.713,1934.66,571.102,-739.98,1692.98,585.586,-821.63,1567.47,628.031,-827.681,1597.59,677.258,-772.584,1690.47,567.083,-850.298,1601.85,510.585,-832.454,1709.24
481.281,-179.002,1721.97,507.058,-343.341,1741.3,529.138,-475.313,1745.83,570.539,-674.155,1729.08,586.433,-638.637,1736.81,694.287,-592.672,1671.54,674.895,-335.336,1645.24,533.161,-178.355,1593.58,540.859,-647.637,1748.75,419.031,-665.362,1757.88,309.95,-425,1771.53,339.26,-215.877,1708.15,564.186,-168.151,1703.66,571.432,203.115,1761.36,580.852,557.064,1821.48,543.959,624.562,1663.34,406.521,-188.783,1738.47,296.737,146.011,1867.99,206.06,476.806,1986.58,155.914,621.425,1934.15,576.588,-742.743,1695.33,585.332,-824.565,1568.92,628.547,-831.879,1597.89,681.994,-778.291,1689.72,566.987,-852.912,1603.83,513.901,-833.848,1713.12
